Name	Unit	Library	Fastq1	Fastq2	GSM	Genome
LN95_FL55_E	r1	Paired	/groups/lackgrp/projects/req-berkay-merichoxb13/raw-data/01.RawData/LN95_FL55_E/LN95_FL55_E_1.fq.gz	/groups/lackgrp/projects/req-berkay-merichoxb13/raw-data/01.RawData/LN95_FL55_E/LN95_FL55_E_2.fq.gz	-	hg38
LN95_FL55_R	r1	Paired	/groups/lackgrp/projects/req-berkay-merichoxb13/raw-data/01.RawData/LN95_FL55_R/LN95_FL55_R_1.fq.gz	/groups/lackgrp/projects/req-berkay-merichoxb13/raw-data/01.RawData/LN95_FL55_R/LN95_FL55_R_2.fq.gz	-	hg38
